IdCliente,apoyoTecnico ,serviciosDeAlimentos ,servicioTelefonico ,servicioDeTransporte ,lineasTelefonicas ,serviciosMedicos ,servicioDeInternet ,ServiciosEntrega,seguridadOnline ,serviciosParaMascotas ,copiasDeSeguridad ,serviciosEducativos ,StreamingTV ,servicioProteccio_nMovil ,StreamingMovies 
1862-QRWPE,No internet service,No,Yes,No,No,No,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
2796-NNUFI,No internet service,Yes,Yes,No,No,Yes,No,No,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
3016-KSVCP,No,Yes,No,Yes,No phone service,Yes,DSL,No,No,Yes,No,No,Yes,No,No
4767-HZZHQ,No,No,Yes,Yes,No,Yes,Fiber optic,No,No,Yes,Yes,No,No,Yes,No
2424-WVHPL,Yes,Yes,Yes,Yes,No,No,Fiber optic,No,No,Yes,No,No,No,No,No
7233-PAHHL,Yes,Yes,Yes,No,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes
6067-NGCEU,No,No,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes
9848-JQJTX,No,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Yes,Yes
8637-XJIVR,No,No,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,No,No
9803-FTJCG,Yes,No,Yes,Yes,Yes,No,DSL,No,Yes,No,Yes,Yes,No,No,No
0278-YXOOG,No internet service,Yes,Yes,Yes,No,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
3212-KXOCR,No internet service,Yes,Yes,No,No,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
4598-XLKNJ,No,Yes,Yes,No,No,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes
6380-ARCEH,No internet service,Yes,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
3679-XASPY,No internet service,Yes,Yes,Yes,No,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
7123-WQUHX,Yes,Yes,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No
5386-THSLQ,No,Yes,No,No,No phone service,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,No
3192-NQECA,Yes,Yes,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Yes,Yes
6180-YBIQI,No,Yes,No,No,No phone service,Yes,DSL,Yes,No,No,No,Yes,No,No,No
6728-DKUCO,No,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes
9750-BOOHV,No,No,No,Yes,No phone service,Yes,DSL,No,Yes,No,No,No,No,No,No
8597-CWYHH,No,No,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,No,Yes
2848-YXSMW,No internet service,Yes,Yes,Yes,No,Yes,No,Yes,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
0486-HECZI,No,Yes,Yes,No,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No
4549-ZDQYY,Yes,No,Yes,Yes,No,Yes,DSL,No,Yes,No,No,Yes,No,Yes,No
5712-AHQNN,No,No,Yes,Yes,No,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Yes,No
4846-WHAFZ,No,Yes,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,No,No
5256-SKJGO,Yes,Yes,No,Yes,No phone service,No,DSL,No,No,Yes,Yes,Yes,Yes,No,Yes
3071-VBYPO,No,Yes,Yes,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,No,No
9560-BBZXK,No,No,No,Yes,No phone service,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No
5299-RULOA,No,Yes,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,No,Yes
8402-OOOHJ,No internet service,Yes,Yes,No,No,Yes,No,No,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
9445-ZUEQE,Yes,No,Yes,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,No,No
1091-SOZGA,No,Yes,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Yes,Yes
2928-HLDBA,No internet service,No,Yes,Yes,No,No,No,Yes,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
0404-SWRVG,No,No,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,No,No
6497-TILVL,No,No,Yes,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,No,No,No
7219-TLZHO,No internet service,Yes,Yes,Yes,No,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
4622-YNKIJ,Yes,No,Yes,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,No,No
4412-YLTKF,No,No,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Yes,No
6734-PSBAW,No internet service,Yes,Yes,Yes,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
3930-ZGWVE,No internet service,No,Yes,No,No,No,No,No,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
2639-UGMAZ,No,No,No,Yes,No phone service,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2876-GZYZC,No,No,Yes,Yes,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,No,Yes
6207-WIOLX,No,No,No,Yes,No phone service,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
8587-XYZSF,Yes,Yes,Yes,No,No,Yes,DSL,Yes,No,No,No,No,No,No,No
3091-FYHKI,No,Yes,No,No,No phone service,Yes,DSL,Yes,No,Yes,No,No,No,No,Yes
2372-HWUHI,No,Yes,Yes,No,No,No,DSL,Yes,No,Yes,No,No,No,No,No
7799-LGRDP,No internet service,Yes,Yes,No,Yes,No,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
7850-VWJUU,No,Yes,Yes,Yes,No,No,Fiber optic,No,Yes,No,No,No,No,No,No
3774-VBNXY,No internet service,Yes,Yes,No,No,No,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
6217-KDYWC,No internet service,Yes,Yes,Yes,No,Yes,No,No,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
0390-DCFDQ,No,Yes,Yes,Yes,No,No,Fiber optic,No,No,No,No,Yes,No,No,No
3146-MSEGF,Yes,No,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
4080-OGPJL,Yes,No,Yes,No,Yes,No,DSL,Yes,Yes,No,No,Yes,No,No,Yes
1095-WGNGG,No,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,No,Yes
2636-SJDOU,No,No,Yes,No,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,No
1131-QQZEB,No internet service,Yes,Yes,No,Yes,Yes,No,Yes,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
5716-EZXZN,Yes,Yes,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,No,No
6837-BJYDQ,No internet service,Yes,Yes,No,No,Yes,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
2135-RXIHG,No,No,Yes,No,No,No,DSL,No,No,No,No,No,No,No,No
6440-DKQGE,No,Yes,Yes,Yes,No,No,DSL,No,No,No,Yes,Yes,Yes,Yes,No
3466-BYAVD,Yes,Yes,Yes,No,No,No,DSL,Yes,No,No,Yes,Yes,No,Yes,Yes
3780-YVMFA,Yes,Yes,Yes,No,No,Yes,DSL,Yes,No,No,No,Yes,Yes,No,Yes
3874-EQOEP,No,Yes,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,No,Yes
1679-JRFBR,No,Yes,Yes,No,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes
9073-ZZIAY,Yes,No,Yes,No,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes
3077-RSNTJ,No internet service,Yes,Yes,Yes,No,Yes,No,No,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
6551-GNYDG,No,Yes,Yes,No,No,Yes,Fiber optic,No,No,Yes,No,No,No,No,Yes
9167-APMXZ,No,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,No,No
2749-CTKAJ,No internet service,No,Yes,No,No,Yes,No,Yes,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
6371-NZYEG,No,Yes,Yes,Yes,No,No,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No
7554-NEWDD,No internet service,Yes,Yes,No,Yes,No,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
8992-VONJD,No,No,Yes,No,No,Yes,DSL,No,Yes,No,Yes,No,No,No,No
0867-MKZVY,No,No,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,No,No
4482-EWFMI,No,No,Yes,No,No,No,Fiber optic,Yes,No,No,No,No,No,No,No
4648-YPBTM,Yes,No,Yes,No,Yes,Yes,DSL,No,No,No,Yes,No,No,Yes,Yes
2907-ILJBN,No internet service,Yes,Yes,No,No,Yes,No,Yes,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
6345-FZOQH,No internet service,Yes,Yes,No,No,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
3376-BMGFE,No,No,Yes,No,No,Yes,Fiber optic,No,No,No,No,No,No,No,No
5997-OPVFA,Yes,No,Yes,No,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
3445-HXXGF,No,Yes,No,No,No phone service,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Yes
1159-WFSGR,No internet service,Yes,Yes,No,No,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
7654-YWJUF,Yes,Yes,Yes,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,No
1875-QIVME,Yes,Yes,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes
6727-IOTLZ,Yes,Yes,Yes,Yes,No,No,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes
0691-JVSYA,No,Yes,Yes,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes
5918-VUKWP,No internet service,No,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
1744-JHKYS,No internet service,No,Yes,No,Yes,No,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
2656-FMOKZ,No,No,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,No,No
2070-FNEXE,No,No,Yes,No,No,No,Fiber optic,No,Yes,No,No,No,No,No,No
5947-SGKCL,No,No,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
3712-PKXZA,No internet service,No,Yes,Yes,No,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
6317-YPKDH,No,No,No,Yes,No phone service,Yes,DSL,Yes,No,Yes,Yes,No,No,No,No
6582-OIVSP,No,Yes,Yes,No,No,No,DSL,No,No,No,No,Yes,No,No,No
9367-WXLCH,No,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,No,Yes
5524-KHNJP,No,No,Yes,No,No,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes
1918-ZBFQJ,No,No,Yes,No,No,Yes,Fiber optic,No,No,No,Yes,Yes,No,Yes,No
1024-GUALD,No,No,No,No,No phone service,No,DSL,No,No,No,No,Yes,No,No,No
4827-USJHP,No,No,Yes,No,No,No,DSL,Yes,No,No,Yes,Yes,No,No,No
8167-GJLRN,Yes,Yes,No,Yes,No phone service,No,DSL,No,No,No,No,No,No,No,No
0956-SYCWG,No internet service,No,Yes,No,No,No,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
8017-UVSZU,No,No,Yes,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No
7100-FQPRV,Yes,No,Yes,Yes,Yes,No,DSL,No,Yes,No,No,No,No,No,Yes
2472-OVKUP,No,Yes,Yes,No,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Yes,Yes
2984-RGEYA,No internet service,No,Yes,Yes,No,Yes,No,Yes,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
9680-NIAUV,No,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2146-EGVDT,No internet service,No,Yes,Yes,No,No,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
2604-IJPDU,Yes,No,Yes,Yes,No,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,No,No
9178-JHUVJ,No internet service,No,Yes,No,Yes,Yes,No,Yes,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
6168-YBYNP,Yes,Yes,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Yes,Yes
7255-SSFBC,Yes,Yes,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes
3645-DEYGF,No internet service,No,Yes,No,No,No,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
9323-HGFWY,Yes,Yes,Yes,No,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,Yes
8544-GOQSH,Yes,No,Yes,Yes,No,Yes,Fiber optic,No,No,Yes,Yes,No,No,No,No
3363-DTIVD,No,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes,Yes
7018-WBJNK,No,No,Yes,No,No,No,Fiber optic,Yes,No,Yes,No,No,Yes,No,No
9142-KZXOP,No,No,Yes,No,No,No,Fiber optic,No,No,Yes,No,No,No,No,No
7674-YTAFD,Yes,No,Yes,Yes,No,No,Fiber optic,No,No,Yes,Yes,No,No,No,No
6348-SNFUS,Yes,No,No,No,No phone service,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Yes,Yes
1285-OKIPP,No,Yes,Yes,Yes,No,Yes,Fiber optic,Yes,No,No,No,No,No,No,Yes
7825-ECJRF,Yes,Yes,Yes,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
1347-KTTTA,Yes,No,Yes,No,No,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Yes,Yes
7841-TZDMQ,No,Yes,Yes,No,No,No,DSL,No,No,No,No,No,No,No,No
4195-NZGTA,No,No,No,Yes,No phone service,No,DSL,Yes,No,Yes,No,No,No,No,No
7157-SMCFK,No internet service,No,Yes,Yes,No,No,No,Yes,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
4709-LKHYG,No internet service,No,Yes,No,No,No,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
2504-DSHIH,No,No,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,No,Yes
0699-NDKJM,No,Yes,No,No,No phone service,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
9286-BHDQG,Yes,No,No,No,No phone service,No,DSL,Yes,Yes,No,Yes,No,No,Yes,No
0230-WEQUW,Yes,Yes,No,No,No phone service,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,No
2040-LDIWQ,Yes,Yes,Yes,No,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes
6496-JDSSB,No,Yes,Yes,Yes,No,No,Fiber optic,No,No,No,No,No,Yes,No,No
9408-SSNVZ,No,Yes,Yes,No,No,Yes,Fiber optic,No,No,No,No,No,No,No,No
4443-EMBNA,No internet service,Yes,Yes,No,Yes,Yes,No,Yes,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
6469-MRVET,No internet service,Yes,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
0742-MOABM,Yes,No,Yes,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,No
5961-VUSRV,No internet service,No,Yes,Yes,No,No,No,Yes,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
6778-JFCMK,No,No,No,Yes,No phone service,No,DSL,Yes,Yes,Yes,No,No,Yes,No,Yes
6341-JVQGF,Yes,No,Yes,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Yes
2232-DMLXU,No,Yes,Yes,No,No,No,DSL,Yes,No,Yes,No,Yes,Yes,No,No
4811-JBUVU,Yes,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,No,Yes
0945-TSONX,Yes,No,Yes,No,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,No,Yes
2651-ZCBXV,Yes,No,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,No,Yes
3316-UWXUY,Yes,Yes,Yes,No,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,No,Yes
8937-RDTHP,No,Yes,Yes,No,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,No,Yes
